packageId,packageName,duration,tier,karachi,islamabad,lahore,singleSupplement
pkg-44,Karachi Makli & Thatta — Day Trip,1 day,deluxe,,,,
pkg-44,Karachi Makli & Thatta — Day Trip,1 day,luxury,,,,
pkg-45,Mohen Jo Daro — 2 Days from Karachi,2 days,deluxe,,,,
pkg-45,Mohen Jo Daro — 2 Days from Karachi,2 days,luxury,,,,
pkg-46,Historical Sindh Circuit — 3 Days,3 days,deluxe,,,,
pkg-46,Historical Sindh Circuit — 3 Days,3 days,luxury,,,,
pkg-47,Pakistan Historical Tour — 10 Days,10 days,deluxe,,,,
pkg-47,Pakistan Historical Tour — 10 Days,10 days,luxury,,,,
pkg-48,Pakistan Historical Grand Tour — 12 Days,12 days,deluxe,,,,
pkg-48,Pakistan Historical Grand Tour — 12 Days,12 days,luxury,,,,
